id,show_id,rating
r215,s215,PG-13
r216,s216,PG-13
r217,s217,R
r218,s218,R
r219,s219,G
r220,s220,G
r221,s221,PG
r222,s222,G
r223,s223,PG-13
r224,s224,R
r225,s225,G
r226,s226,G
r227,s227,PG
r228,s228,PG
r229,s229,PG-13
r230,s230,R
r231,s231,PG
r232,s232,G
r233,s233,R
r234,s234,R
r235,s235,G
r236,s236,PG
r237,s237,G
r238,s238,R
r239,s239,NR
r240,s240,NR
r241,s241,PG-13
r242,s242,G
r243,s243,G
r244,s244,PG-13
r245,s245,PG-13
r246,s246,PG-13
r247,s247,R
r248,s248,G
r249,s249,R
r250,s250,PG-13
r251,s251,G
r252,s252,R
r253,s253,R
r254,s254,PG-13
r255,s255,G
r256,s256,PG-13
r257,s257,G
r258,s258,NR
r259,s259,PG
r260,s260,PG
r261,s261,PG
r262,s262,PG-13
r263,s263,NR
r264,s264,G
r265,s265,R
r266,s266,G
r267,s267,R
r268,s268,G
r269,s269,NR
r270,s270,R
r271,s271,PG-13
r272,s272,G
r273,s273,G
r274,s274,R
r275,s275,PG-13
r276,s276,PG-13
r277,s277,NR
r278,s278,PG-13
r279,s279,PG-13
r280,s280,PG-13
r281,s281,PG
r282,s282,NR
r283,s283,G
r284,s284,R
r285,s285,G
r286,s286,NR
r287,s287,R
r288,s288,NR
r289,s289,PG-13
r290,s290,R
r291,s291,PG-13
r292,s292,G
r293,s293,G
r294,s294,R
r295,s295,R
r296,s296,NR
r297,s297,NR
r298,s298,PG-13
r299,s299,R
r300,s300,G
r301,s301,NR
r302,s302,NR
r303,s303,G
r304,s304,NR
r305,s305,PG-13
r306,s306,R
r307,s307,G
r308,s308,R
r309,s309,NR
r310,s310,NR
r311,s311,G
r312,s312,PG-13
r313,s313,PG
r314,s314,G
r315,s315,PG
r316,s316,PG
r317,s317,PG-13
r318,s318,PG
r319,s319,PG
r320,s320,PG-13
r321,s321,PG
r322,s322,PG
r323,s323,PG
r324,s324,G
r325,s325,G
r326,s326,G
r327,s327,PG-13
r328,s328,NR
r329,s329,PG
r330,s330,PG
r331,s331,PG-13
r332,s332,PG
r333,s333,G
r334,s334,NR
r335,s335,R
r336,s336,PG
r337,s337,G
r338,s338,R
r339,s339,NR
r340,s340,R
r341,s341,G
r342,s342,R
r343,s343,PG-13
r344,s344,R
r345,s345,PG
r346,s346,PG
r347,s347,PG-13
r348,s348,G
r349,s349,PG
r350,s350,NR
r351,s351,PG
r352,s352,PG
r353,s353,G
r354,s354,R
r355,s355,PG
r356,s356,PG-13
r357,s357,R
r358,s358,NR
r359,s359,G
r360,s360,NR
r361,s361,R
r362,s362,R
r363,s363,R
r364,s364,NR
r365,s365,R
r366,s366,NR
r367,s367,R
r368,s368,PG-13
r369,s369,R
r370,s370,NR
r371,s371,PG
r372,s372,R
r373,s373,PG
r374,s374,PG-13
r375,s375,G
r376,s376,PG-13
r377,s377,R
r378,s378,PG
r379,s379,PG
r380,s380,NR
r381,s381,PG
r382,s382,NR
r383,s383,G
r384,s384,R
r385,s385,NR
r386,s386,G
r387,s387,PG
r388,s388,PG
r389,s389,G
r390,s390,PG
r391,s391,G
r392,s392,NR
r393,s393,NR
r394,s394,G
r395,s395,NR
r396,s396,NR
r397,s397,NR
r398,s398,PG-13
r399,s399,R
r400,s400,PG
r401,s401,PG-13
r402,s402,NR
r403,s403,G
r404,s404,NR
r405,s405,R
r406,s406,NR
r407,s407,G
r408,s408,R
r409,s409,NR
r410,s410,R
r411,s411,PG
r412,s412,PG
r413,s413,NR
r414,s414,R
r415,s415,G
r416,s416,NR
r417,s417,PG
r418,s418,PG
r419,s419,NR
r420,s420,R
r421,s421,PG
r422,s422,R
r423,s423,PG
r424,s424,PG
r425,s425,PG-13
r426,s426,PG
r427,s427,G
r428,s428,NR
r429,s429,NR
r430,s430,R
r431,s431,PG
r432,s432,G
r433,s433,R
r434,s434,PG-13
r435,s435,R
r436,s436,R
r437,s437,PG
r438,s438,PG-13
r439,s439,R
r440,s440,G
r441,s441,G
r442,s442,NR
r443,s443,PG-13
r444,s444,PG-13
r445,s445,NR
r446,s446,R
r447,s447,PG-13
r448,s448,G
r449,s449,G
r450,s450,PG
r451,s451,PG-13
r452,s452,R
r453,s453,NR
r454,s454,NR
r455,s455,R
r456,s456,PG
r457,s457,NR
r458,s458,PG-13
r459,s459,PG
r460,s460,PG-13
r461,s461,G
r462,s462,PG
r463,s463,NR
r464,s464,PG
r465,s465,PG
r466,s466,PG
r467,s467,PG
r468,s468,PG-13
r469,s469,G
r470,s470,R
r471,s471,PG
r472,s472,NR
r473,s473,PG
r474,s474,NR
r475,s475,PG-13
r476,s476,NR
r477,s477,R
r478,s478,G
r479,s479,NR
r480,s480,NR
r481,s481,G
r482,s482,R
r483,s483,PG
r484,s484,NR
r485,s485,G
r486,s486,PG-13
r487,s487,G
r488,s488,PG-13
r489,s489,R
r490,s490,PG
r491,s491,G
r492,s492,NR
r493,s493,R
r494,s494,G
r495,s495,NR
r496,s496,G
r497,s497,PG-13
r498,s498,G
r499,s499,G
r500,s500,G
r501,s501,R
r502,s502,G
r503,s503,NR
r504,s504,PG-13
r505,s505,PG-13
r506,s506,G
r507,s507,R
r508,s508,R
r509,s509,NR
r510,s510,G
r511,s511,PG-13
r512,s512,R
r513,s513,G
r514,s514,R
r515,s515,R
r516,s516,PG-13
r517,s517,PG
r518,s518,NR
r519,s519,NR
r520,s520,PG-13
r521,s521,R
r522,s522,G
r523,s523,R
r524,s524,PG-13
r525,s525,NR
r526,s526,R
r527,s527,NR
r528,s528,G
r529,s529,NR
r530,s530,NR
r531,s531,PG
r532,s532,PG
r533,s533,PG
r534,s534,NR
r535,s535,PG-13
r536,s536,NR
r537,s537,PG-13
r538,s538,PG-13
r539,s539,PG
r540,s540,R
r541,s541,G
r542,s542,PG
r543,s543,PG
r544,s544,R
r545,s545,G
r546,s546,NR
r547,s547,NR
r548,s548,PG
r549,s549,G
r550,s550,PG
r551,s551,PG-13
r552,s552,PG
r553,s553,PG
r554,s554,NR
r555,s555,NR
r556,s556,NR
r557,s557,PG-13
r558,s558,NR
r559,s559,G
r560,s560,R
r561,s561,G
r562,s562,G
r563,s563,NR
r564,s564,R
r565,s565,R
r566,s566,R
r567,s567,PG-13
r568,s568,NR
r569,s569,R
r570,s570,PG-13
r571,s571,PG
r572,s572,PG
r573,s573,PG-13
r574,s574,PG-13
r575,s575,NR
r576,s576,NR
r577,s577,PG
r578,s578,R
r579,s579,PG
r580,s580,R
r581,s581,R
r582,s582,NR
r583,s583,G
r584,s584,G
r585,s585,PG-13
r586,s586,NR
r587,s587,R
r588,s588,G
r589,s589,R
r590,s590,G
r591,s591,G
r592,s592,G
r593,s593,NR
r594,s594,PG
r595,s595,R
r596,s596,NR
r597,s597,NR
r598,s598,NR
r599,s599,NR
r600,s600,NR
r601,s601,PG-13
r602,s602,R
r603,s603,NR
r604,s604,R
r605,s605,PG-13
r606,s606,PG-13
r607,s607,R
r608,s608,G
r609,s609,PG
r610,s610,G
r611,s611,G
r612,s612,G
r613,s613,NR
r614,s614,PG-13
r615,s615,G
r616,s616,PG-13
r617,s617,R
r618,s618,PG
r619,s619,R
r620,s620,R
r621,s621,NR
r622,s622,PG
r623,s623,R
r624,s624,R
r625,s625,PG
r626,s626,PG
r627,s627,R
r628,s628,PG
r629,s629,R
r630,s630,R
r631,s631,NR
r632,s632,G
r633,s633,R
r634,s634,PG-13
r635,s635,G
r636,s636,G
r637,s637,G
r638,s638,NR
r639,s639,R
r640,s640,NR
r641,s641,R
r642,s642,NR
r643,s643,NR
r644,s644,PG-13
r645,s645,NR
r646,s646,PG
r647,s647,PG-13
r648,s648,NR
r649,s649,G
r650,s650,PG
r651,s651,PG
r652,s652,PG
r653,s653,PG-13
r654,s654,NR
r655,s655,NR
r656,s656,G
r657,s657,G
r658,s658,PG
r659,s659,G
r660,s660,PG-13
r661,s661,NR
r662,s662,PG
r663,s663,G
r664,s664,PG-13
r665,s665,PG-13
r666,s666,G
r667,s667,NR
r668,s668,G
r669,s669,PG
r670,s670,G
r671,s671,PG-13
r672,s672,G
r673,s673,NR
r674,s674,R
r675,s675,G
r676,s676,NR
r677,s677,NR
r678,s678,PG-13
r679,s679,NR
r680,s680,NR
r681,s681,NR
r682,s682,NR
r683,s683,PG
r684,s684,PG
r685,s685,PG-13
r686,s686,G
r687,s687,NR
r688,s688,G
r689,s689,G
r690,s690,PG-13
r691,s691,NR
r692,s692,NR
r693,s693,R
r694,s694,G
r695,s695,G
r696,s696,PG
r697,s697,R
r698,s698,PG
r699,s699,PG
r700,s700,PG
r701,s701,PG-13
r702,s702,PG-13
r703,s703,PG
r704,s704,R
r705,s705,G
r706,s706,R
r707,s707,NR
r708,s708,PG-13
r709,s709,G
r710,s710,G
r711,s711,NR
r712,s712,NR
r713,s713,PG
r714,s714,PG-13
r715,s715,PG-13
r716,s716,R
r717,s717,PG
r718,s718,PG
r719,s719,PG
r720,s720,PG
r721,s721,PG-13
r722,s722,PG-13
r723,s723,PG
r724,s724,R
r725,s725,G
r726,s726,G
r727,s727,R
r728,s728,PG
r729,s729,PG-13
r730,s730,G
r731,s731,NR
r732,s732,NR
r733,s733,R
r734,s734,PG
r735,s735,G
r736,s736,PG
r737,s737,G
r738,s738,R
r739,s739,R
r740,s740,NR
r741,s741,PG
r742,s742,NR
r743,s743,PG
r744,s744,NR
r745,s745,PG-13
r746,s746,PG-13
r747,s747,PG-13
r748,s748,PG-13
r749,s749,G
r750,s750,PG-13
r751,s751,R
r752,s752,R
r753,s753,G
r754,s754,PG-13
r755,s755,PG-13
r756,s756,PG-13
r757,s757,NR
r758,s758,PG
r759,s759,NR
r760,s760,PG
r761,s761,PG-13
r762,s762,PG-13
r763,s763,NR
r764,s764,NR
r765,s765,PG
r766,s766,R
r767,s767,PG
r768,s768,NR
r769,s769,NR
r770,s770,G
r771,s771,NR
r772,s772,G
r773,s773,R
r774,s774,PG
r775,s775,PG
r776,s776,G
r777,s777,PG
r778,s778,NR
r779,s779,PG-13
r780,s780,G
r781,s781,PG
r782,s782,G
r783,s783,G
r784,s784,PG-13
r785,s785,NR
r786,s786,G
r787,s787,PG
r788,s788,R
r789,s789,G
r790,s790,G
r791,s791,PG-13
r792,s792,NR
r793,s793,R
r794,s794,PG
r795,s795,R
r796,s796,PG
r797,s797,NR
r798,s798,PG
r799,s799,PG-13
r800,s800,PG-13
r801,s801,PG-13
r802,s802,PG-13
r803,s803,R
r804,s804,NR
r805,s805,PG
r806,s806,PG
r807,s807,PG-13
r808,s808,PG-13
r809,s809,G
r810,s810,NR
r811,s811,R
r812,s812,PG
r813,s813,G
r814,s814,G
r815,s815,PG
r816,s816,R
r817,s817,G
r818,s818,G
r819,s819,NR
r820,s820,R
r821,s821,G
r822,s822,R
r823,s823,PG
r824,s824,PG-13
r825,s825,G
r826,s826,NR
r827,s827,PG
r828,s828,R
r829,s829,PG
r830,s830,G
r831,s831,R
r832,s832,PG-13
r833,s833,PG
r834,s834,G
r835,s835,NR
r836,s836,R
r837,s837,PG
r838,s838,PG
r839,s839,PG-13
r840,s840,PG-13
r841,s841,NR
r842,s842,NR
r843,s843,G
r844,s844,G
r845,s845,NR
r846,s846,NR
r847,s847,R
r848,s848,PG-13
r849,s849,G
r850,s850,PG-13
r851,s851,PG-13
r852,s852,NR
r853,s853,R
r854,s854,PG
r855,s855,R
r856,s856,R
r857,s857,PG-13
r858,s858,R
r859,s859,G
r860,s860,PG-13
r861,s861,G
r862,s862,PG
r863,s863,PG-13
r864,s864,PG
r865,s865,PG-13
r866,s866,NR
r867,s867,R
r868,s868,NR
r869,s869,PG
r870,s870,R
r871,s871,PG-13
r872,s872,R
r873,s873,G
r874,s874,R
r875,s875,G
r876,s876,R
r877,s877,G
r878,s878,PG
r879,s879,NR
r880,s880,PG-13
r881,s881,R
r882,s882,NR
r883,s883,PG-13
r884,s884,PG-13
r885,s885,G
r886,s886,PG
r887,s887,PG
r888,s888,NR
r889,s889,PG
r890,s890,R
r891,s891,PG
r892,s892,NR
r893,s893,PG
r894,s894,R
r895,s895,G
r896,s896,NR
r897,s897,G
r898,s898,G
r899,s899,G
r900,s900,PG-13
r901,s901,PG-13
r902,s902,G
r903,s903,NR
r904,s904,R
r905,s905,R
r906,s906,PG
r907,s907,NR
r908,s908,PG-13
r909,s909,G
r910,s910,PG
r911,s911,R
r912,s912,PG-13
r913,s913,PG-13
r914,s914,G
r915,s915,R
r916,s916,NR
r917,s917,PG-13
r918,s918,G
r919,s919,NR
r920,s920,R
r921,s921,PG-13
r922,s922,NR
r923,s923,NR
r924,s924,NR
r925,s925,PG-13
r926,s926,PG-13
r927,s927,PG
r928,s928,R
r929,s929,G
r930,s930,NR
r931,s931,PG
r932,s932,G
r933,s933,PG
r934,s934,PG-13
r935,s935,NR
r936,s936,G
r937,s937,G
r938,s938,G
r939,s939,G
r940,s940,G
r941,s941,PG
r942,s942,NR
r943,s943,PG-13
r944,s944,PG-13
r945,s945,PG-13
r946,s946,PG-13
r947,s947,PG
r948,s948,R
r949,s949,NR
r950,s950,G
r951,s951,R
r952,s952,PG-13
r953,s953,R
r954,s954,NR
r955,s955,G
r956,s956,G
r957,s957,NR
r958,s958,NR
r959,s959,PG-13
r960,s960,G
r961,s961,R
r962,s962,PG
r963,s963,PG
r964,s964,NR
r965,s965,PG-13
r966,s966,PG
r967,s967,G
r968,s968,NR
r969,s969,R
r970,s970,NR
r971,s971,R
r972,s972,NR
r973,s973,NR
r974,s974,NR
r975,s975,R
r976,s976,R
r977,s977,NR
r978,s978,PG
r979,s979,PG-13
r980,s980,PG-13
r981,s981,PG-13
r982,s982,R
r983,s983,R
r984,s984,PG
r985,s985,PG-13
r986,s986,PG-13
r987,s987,NR
r988,s988,R
r989,s989,PG-13
r990,s990,PG
r991,s991,PG
r992,s992,PG-13
r993,s993,R
r994,s994,PG
r995,s995,NR
r996,s996,PG
r997,s997,G
r998,s998,G
r999,s999,R
r1000,s1000,PG-13
r1001,s1001,R
r1002,s1002,R
r1003,s1003,R
r1004,s1004,R
r1005,s1005,NR
r1006,s1006,NR
r1007,s1007,PG
r1008,s1008,G
r1009,s1009,R
r1010,s1010,PG
r1011,s1011,G
r1012,s1012,PG-13
r1013,s1013,NR
r1014,s1014,G
r1015,s1015,PG-13
r1016,s1016,G
r1017,s1017,NR
r1018,s1018,NR
r1019,s1019,PG
r1020,s1020,R
r1021,s1021,G
r1022,s1022,G
r1023,s1023,PG-13
r1024,s1024,NR
r1025,s1025,G
r1026,s1026,NR
r1027,s1027,G
r1028,s1028,PG
r1029,s1029,R
r1030,s1030,G
r1031,s1031,NR
r1032,s1032,PG
r1033,s1033,G
r1034,s1034,PG-13
r1035,s1035,R
r1036,s1036,G
r1037,s1037,PG
r1038,s1038,PG-13
r1039,s1039,PG
r1040,s1040,PG
r1041,s1041,PG-13
r1042,s1042,PG
r1043,s1043,PG-13
r1044,s1044,G
r1045,s1045,PG-13
r1046,s1046,PG-13
r1047,s1047,R
r1048,s1048,PG-13
r1049,s1049,PG-13
r1050,s1050,G
r1051,s1051,R
r1052,s1052,NR
r1053,s1053,G
r1054,s1054,G
r1055,s1055,NR
r1056,s1056,PG-13
r1057,s1057,PG
r1058,s1058,R
r1059,s1059,PG
r1060,s1060,NR
r1061,s1061,G
r1062,s1062,G
r1063,s1063,R
r1064,s1064,G
r1065,s1065,G
r1066,s1066,R
r1067,s1067,R
r1068,s1068,NR
r1069,s1069,G
r1070,s1070,G
r1071,s1071,NR
r1072,s1072,PG-13
r1073,s1073,PG-13
r1074,s1074,PG-13
r1075,s1075,NR
r1076,s1076,G
r1077,s1077,NR
r1078,s1078,NR
r1079,s1079,PG-13
r1080,s1080,PG
r1081,s1081,G
r1082,s1082,PG-13
r1083,s1083,PG
r1084,s1084,PG
r1085,s1085,R
r1086,s1086,G
r1087,s1087,PG
r1088,s1088,PG-13
r1089,s1089,R
r1090,s1090,G
r1091,s1091,NR
r1092,s1092,PG-13
r1093,s1093,PG
r1094,s1094,PG
r1095,s1095,PG-13
r1096,s1096,PG
r1097,s1097,R
r1098,s1098,G
r1099,s1099,R
r1100,s1100,PG
r1101,s1101,NR
r1102,s1102,G
r1103,s1103,G
r1104,s1104,PG-13
r1105,s1105,PG-13
r1106,s1106,NR
r1107,s1107,G
r1108,s1108,NR
r1109,s1109,PG-13
r1110,s1110,PG-13
r1111,s1111,G
r1112,s1112,R
r1113,s1113,PG
r1114,s1114,PG-13
r1115,s1115,PG-13
r1116,s1116,R
r1117,s1117,R
r1118,s1118,NR
r1119,s1119,NR
r1120,s1120,PG
r1121,s1121,PG
r1122,s1122,G
r1123,s1123,NR
r1124,s1124,PG-13
r1125,s1125,NR
r1126,s1126,PG-13
r1127,s1127,R
r1128,s1128,NR
r1129,s1129,R
r1130,s1130,PG
r1131,s1131,PG
r1132,s1132,G
r1133,s1133,NR
r1134,s1134,R
r1135,s1135,PG-13
r1136,s1136,PG
r1137,s1137,PG
r1138,s1138,PG-13
r1139,s1139,R
r1140,s1140,R
r1141,s1141,NR
r1142,s1142,NR
r1143,s1143,G
r1144,s1144,PG
r1145,s1145,NR
r1146,s1146,R
r1147,s1147,PG-13
r1148,s1148,R
r1149,s1149,PG
r1150,s1150,R
r1151,s1151,G
r1152,s1152,PG
r1153,s1153,PG-13
r1154,s1154,G
r1155,s1155,PG
r1156,s1156,PG-13
r1157,s1157,G
r1158,s1158,G
r1159,s1159,PG
r1160,s1160,NR
r1161,s1161,G
r1162,s1162,G
r1163,s1163,PG-13
r1164,s1164,R
r1165,s1165,PG
r1166,s1166,PG
r1167,s1167,NR
r1168,s1168,NR
r1169,s1169,PG
r1170,s1170,NR
r1171,s1171,PG-13
r1172,s1172,PG
r1173,s1173,NR
r1174,s1174,PG
r1175,s1175,R
r1176,s1176,G
r1177,s1177,PG
r1178,s1178,G
r1179,s1179,NR
r1180,s1180,G
r1181,s1181,PG
r1182,s1182,R
r1183,s1183,NR
r1184,s1184,PG
r1185,s1185,NR
r1186,s1186,PG-13
r1187,s1187,G
r1188,s1188,PG-13
r1189,s1189,PG
r1190,s1190,R
r1191,s1191,NR
r1192,s1192,G
r1193,s1193,NR
r1194,s1194,PG
r1195,s1195,NR
r1196,s1196,G
r1197,s1197,PG
r1198,s1198,NR
r1199,s1199,R
r1200,s1200,PG
r1201,s1201,PG
r1202,s1202,R
r1203,s1203,PG-13
r1204,s1204,G
r1205,s1205,PG-13
r1206,s1206,NR
r1207,s1207,R
r1208,s1208,PG-13
r1209,s1209,PG
r1210,s1210,NR
r1211,s1211,NR
r1212,s1212,PG-13
r1213,s1213,PG-13
r1214,s1214,R
r1215,s1215,G
r1216,s1216,PG-13
r1217,s1217,PG-13
r1218,s1218,PG
r1219,s1219,NR
r1220,s1220,G
r1221,s1221,PG
r1222,s1222,R
r1223,s1223,R
r1224,s1224,PG-13
r1225,s1225,PG-13
r1226,s1226,R
r1227,s1227,PG-13
r1228,s1228,G
r1229,s1229,PG-13
r1230,s1230,NR
r1231,s1231,PG-13
r1232,s1232,PG
r1233,s1233,G
r1234,s1234,PG
r1235,s1235,PG
r1236,s1236,NR
r1237,s1237,G
r1238,s1238,G
r1239,s1239,G
r1240,s1240,G
r1241,s1241,G
r1242,s1242,NR
r1243,s1243,PG-13
r1244,s1244,PG
r1245,s1245,G
r1246,s1246,PG-13
r1247,s1247,PG-13
r1248,s1248,PG
r1249,s1249,NR
r1250,s1250,R
r1251,s1251,R
r1252,s1252,PG-13
r1253,s1253,PG
r1254,s1254,R
r1255,s1255,PG-13
r1256,s1256,NR
r1257,s1257,R
r1258,s1258,PG-13
r1259,s1259,PG-13
r1260,s1260,G
r1261,s1261,NR
r1262,s1262,G
r1263,s1263,PG
r1264,s1264,G
r1265,s1265,G
r1266,s1266,R
r1267,s1267,PG-13
r1268,s1268,NR
r1269,s1269,G
r1270,s1270,NR
r1271,s1271,G
r1272,s1272,PG
r1273,s1273,G
r1274,s1274,R
r1275,s1275,PG-13
r1276,s1276,PG
r1277,s1277,G
r1278,s1278,NR
r1279,s1279,PG
r1280,s1280,PG
r1281,s1281,G
r1282,s1282,PG
r1283,s1283,NR
r1284,s1284,PG
r1285,s1285,NR
r1286,s1286,G
r1287,s1287,PG-13
r1288,s1288,PG
r1289,s1289,PG-13
r1290,s1290,NR
r1291,s1291,PG
r1292,s1292,R
r1293,s1293,PG-13
r1294,s1294,PG
r1295,s1295,PG-13
r1296,s1296,PG
r1297,s1297,G
r1298,s1298,PG-13
r1299,s1299,R
r1300,s1300,R
r1301,s1301,NR
r1302,s1302,PG
r1303,s1303,PG-13
r1304,s1304,NR
r1305,s1305,PG-13
r1306,s1306,PG
r1307,s1307,R
r1308,s1308,G
r1309,s1309,R
r1310,s1310,NR
r1311,s1311,G
r1312,s1312,NR
r1313,s1313,PG
r1314,s1314,G
r1315,s1315,NR
r1316,s1316,PG
r1317,s1317,R
r1318,s1318,PG
r1319,s1319,PG-13
r1320,s1320,PG
r1321,s1321,PG
r1322,s1322,PG-13
r1323,s1323,NR
r1324,s1324,NR
r1325,s1325,PG
r1326,s1326,PG-13
r1327,s1327,PG-13
r1328,s1328,R
r1329,s1329,NR
r1330,s1330,G
r1331,s1331,NR
r1332,s1332,NR
r1333,s1333,R
r1334,s1334,G
r1335,s1335,R
r1336,s1336,G
r1337,s1337,PG
r1338,s1338,G
r1339,s1339,R
r1340,s1340,NR
r1341,s1341,G
r1342,s1342,G
r1343,s1343,PG-13
r1344,s1344,NR
r1345,s1345,PG
r1346,s1346,R
r1347,s1347,PG
r1348,s1348,NR
r1349,s1349,G
r1350,s1350,G
r1351,s1351,NR
r1352,s1352,G
r1353,s1353,G
r1354,s1354,G
r1355,s1355,R
r1356,s1356,R
r1357,s1357,PG-13
r1358,s1358,PG
r1359,s1359,NR
r1360,s1360,NR
r1361,s1361,NR
r1362,s1362,PG-13
r1363,s1363,R
r1364,s1364,PG-13
r1365,s1365,NR
r1366,s1366,PG
r1367,s1367,G
r1368,s1368,R
r1369,s1369,R
r1370,s1370,PG-13
r1371,s1371,R
r1372,s1372,NR
r1373,s1373,NR
r1374,s1374,PG-13
r1375,s1375,NR
r1376,s1376,PG
r1377,s1377,PG-13
r1378,s1378,PG
r1379,s1379,G
r1380,s1380,PG
r1381,s1381,G
r1382,s1382,G
r1383,s1383,PG
r1384,s1384,PG-13
r1385,s1385,NR
r1386,s1386,NR
r1387,s1387,G
r1388,s1388,G
r1389,s1389,PG-13
r1390,s1390,R
r1391,s1391,PG
r1392,s1392,G
r1393,s1393,NR
r1394,s1394,PG-13
r1395,s1395,PG
r1396,s1396,PG-13
r1397,s1397,PG
r1398,s1398,PG
r1399,s1399,G
r1400,s1400,PG-13
r1401,s1401,PG-13
r1402,s1402,NR
r1403,s1403,NR
r1404,s1404,G
r1405,s1405,G
r1406,s1406,R
r1407,s1407,NR
r1408,s1408,PG
r1409,s1409,PG-13
r1410,s1410,G
r1411,s1411,PG-13
r1412,s1412,PG-13
r1413,s1413,R
r1414,s1414,NR
r1415,s1415,G
r1416,s1416,PG-13
r1417,s1417,G
r1418,s1418,PG
r1419,s1419,R
r1420,s1420,PG
r1421,s1421,G
r1422,s1422,G
r1423,s1423,NR
r1424,s1424,PG-13
r1425,s1425,PG-13
r1426,s1426,PG
r1427,s1427,R
r1428,s1428,PG-13
r1429,s1429,NR
r1430,s1430,PG
r1431,s1431,PG
r1432,s1432,NR
r1433,s1433,R
r1434,s1434,NR
r1435,s1435,R
r1436,s1436,NR
r1437,s1437,NR
r1438,s1438,G
r1439,s1439,PG
r1440,s1440,NR
r1441,s1441,NR
r1442,s1442,PG-13
r1443,s1443,PG
r1444,s1444,PG-13
r1445,s1445,PG
r1446,s1446,PG-13
r1447,s1447,NR
r1448,s1448,NR
r1449,s1449,G
r1450,s1450,PG-13
r1451,s1451,R
r1452,s1452,G
r1453,s1453,PG-13
r1454,s1454,PG-13
